"","GeneID","Chr","Start","End","Strand","Annotation"
"1967","N16961_10395","NC_002505.1",2261526,2262404,"+","DNA-binding transcriptional regulator, LysR family"
"1968","N16961_10400","NC_002505.1",2262535,2262909,"-","DUF4442 domain-containing protein"
"1969","N16961_10405","NC_002505.1",2263275,2263727,"+","ferric iron uptake transcriptional regulator"
"1970","N16961_10410","NC_002505.1",2263809,2264822,"-","aspartate-semialdehyde dehydrogenase"
"1971","N16961_10415","NC_002505.1",2264806,2265951,"-","Erythronate-4-phosphate dehydrogenase"
"1972","N16961_10420","NC_002505.1",2266155,2266532,"-","Ketosynthase family 3 (KS3) domain-containing protein"
"1973","N16961_10425","NC_002505.1",2266529,2267365,"-","Beta-ketoacyl-ACP synthase I"
"1974","N16961_10430","NC_002505.1",2267492,2269507,"+","bifunctional tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmD/FAD-dependent 5-carboxymethylaminomethyl-2-thiouridine(34) oxidoreductase MnmC"
"1975","N16961_10435","NC_002505.1",2269586,2270113,"-","NAD(P)H-dependent FMN reductase"
"1976","N16961_10440","NC_002505.1",2270321,2270584,"-","YfcL protein"
"1977","N16961_10445","NC_002505.1",2270623,2271153,"-","Elongation factor P hydroxylase EpmC (EF-P beta-lysylation pathway)"
"1978","N16961_10450","NC_002505.1",2271517,2272140,"+","Uncharacterized membrane protein YeiH"
"1979","N16961_10455","NC_002505.1",2272222,2273307,"-","chorismate synthase"
"1980","N16961_10460","NC_002505.1",2273537,2274469,"-","50S ribosomal protein L3 N(5)-glutamine methyltransferase"
"1981","N16961_10465","NC_002505.1",2274536,2275096,"+","endonuclease SmrB"
"1982","N16961_10470","NC_002505.1",2275104,2276234,"-","flagellar biosynthesis protein"
"1983","N16961_10475","NC_002505.1",2276244,2277026,"-","flagellar biosynthesis protein"
"1984","N16961_10480","NC_002505.1",2277035,2277304,"-","flagellar biosynthesis protein"
"1985","N16961_10485","NC_002505.1",2277317,2278216,"-","flagellar biosynthesis protein"
"1986","N16961_10490","NC_002505.1",2278194,2278583,"-","flagellar protein FliO"
"1987","N16961_10495","NC_002505.1",2278587,2278997,"-","flagellar motor switch protein"
"1988","N16961_10500","NC_002505.1",2279068,2280117,"-","flagellar motor switch protein"
"1989","N16961_10505","NC_002505.1",2280125,2280628,"-","flagellar basal body-associated protein"
"1990","N16961_10510","NC_002505.1",2280663,2282672,"-","flagellar hook-length control protein FliK, putative"
"1991","N16961_10515","NC_002505.1",2282851,2283294,"-","flagellar protein FliJ"
"1992","N16961_10520","NC_002505.1",2283309,2284628,"-","flagellum-specific ATP synthase"
"1993","N16961_10525","NC_002505.1",2284632,2285432,"-","flagellar assembly protein"
"1994","N16961_10530","NC_002505.1",2285525,2286571,"-","flagellar motor protein"
"1995","N16961_10535","NC_002505.1",2286564,2288306,"-","flagellar M-ring protein FliF"
"1996","N16961_10540","NC_002505.1",2288322,2288633,"-","flagellar hook-basal body protein"
"1997","N16961_10545","NC_002505.1",2288709,2290142,"-","sigma-54 dependent response regulator"
"1998","N16961_10550","NC_002505.1",2290145,2291197,"-","sensory box sensor histidine kinase"
"1999","N16961_10555","NC_002505.1",2291312,2292778,"-","sigma-54 dependent transcriptional activator"
"2000","N16961_10560","NC_002505.1",2293010,2293420,"-","flagellar protein FliS"
"2001","N16961_10565","NC_002505.1",2293431,2293736,"-","flagellar rod protein FlaI, putative"
"2002","N16961_10570","NC_002505.1",2293738,2295738,"-","flagellar hook-associated protein"
"2003","N16961_10575","NC_002505.1",2295760,2296221,"-","flagellar protein FlaG"
"2004","N16961_10580","NC_002505.1",2296295,2297425,"-","flagellin"
"2005","N16961_10585","NC_002505.1",2297661,2298794,"-","flagellin"
"2006","N16961_10590","NC_002505.1",2299084,2300220,"-","secreted flagellin involved in biofilm formation"
"2007","N16961_10595","NC_002505.1",2300344,2301252,"-","Deferrochelatase"
"2008","N16961_10600","NC_002505.1",2301318,2301782,"-","DUF2919 domain-containing protein"
"2009","N16961_10605","NC_002505.1",2301926,2302282,"+","DUF2956 domain-containing protein"
"2010","N16961_10610","NC_002505.1",2302349,2302636,"-","Helix-turn-helix domain-containing protein"
"2011","N16961_10615","NC_002505.1",2302887,2303234,"+","ArsC family reductase"
"2012","N16961_10620","NC_002505.1",2303265,2304398,"+","succinyl-diaminopimelate desuccinylase"
"2013","N16961_10625","NC_002505.1",2304401,2305075,"+","LD-carboxypeptidase LdcB, LAS superfamily"
"2014","N16961_10630","NC_002505.1",2305077,2305289,"+","Succinyl-diaminopimelate desuccinylase"
"2015","N16961_10635","NC_002505.1",2305382,2306401,"-","outer membrane protein assembly factor BamC"
"2016","N16961_10640","NC_002505.1",2306459,2307337,"-","4-hydroxy-tetrahydrodipicolinate synthase"
"2017","N16961_10645","NC_002505.1",2307615,2308157,"+","Glycine cleavage system regulator GcvR"
"2018","N16961_10650","NC_002505.1",2308172,2308639,"+","thioredoxin-dependent thiol peroxidase"
"2019","N16961_10655","NC_002505.1",2308741,2310612,"-","methyl-accepting chemotaxis protein Mlp24"
"2020","N16961_10660","NC_002505.1",2310803,2311867,"-","putative PurR-regulated permease PerM"
"2021","N16961_10665","NC_002505.1",2311860,2312096,"-","Sulfur carrier protein TusA (tRNA thiolation, molybdenum cofactor biosynthesis)"
"2022","N16961_10670","NC_002505.1",2312280,2313734,"+","Putative beta-barrel assembly-enhancing protease"
"2023","N16961_10675","NC_002505.1",2313757,2314107,"+","arsenate reductase (glutaredoxin)"
"2024","N16961_10680","NC_002505.1",2314104,2314664,"+","NAD(P)H:quinone oxidoreductase"
"2025","N16961_10685","NC_002505.1",2314667,2315104,"+","Uncharacterized membrane protein"
"2026","N16961_10690","NC_002505.1",2315311,2316459,"-","DUF2066 domain-containing protein"
"2027","N16961_10695","NC_002505.1",2316680,2317933,"+","Xanthine/uracil permease"
"2028","N16961_10700","NC_002505.1",2318004,2318486,"-","Cys-tRNA(Pro) deacylase"
"2029","N16961_10705","NC_002505.1",2318621,2320282,"-","bifunctional UDP-sugar hydrolase/5'-nucleotidase UshA"
"2030","N16961_10715","NC_002505.1",2320824,2321675,"-","3-deoxy-8-phosphooctulonate synthase"
"2031","N16961_10720","NC_002505.1",2321695,2322507,"-","UPF0162 protein VC_2176"
"2032","N16961_10725","NC_002505.1",2322523,2322906,"-","Uncharacterized membrane protein SirB2"
"2033","N16961_10730","NC_002505.1",2322906,2323766,"-","peptide chain release factor N(5)-glutamine methyltransferase"
"2034","N16961_10735","NC_002505.1",2323770,2324858,"-","peptide chain release factor 1"
"2035","N16961_10740","NC_002505.1",2324888,2326147,"-","glutamyl-tRNA reductase"
"2036","N16961_10745","NC_002505.1",2326306,2326923,"+","lipoprotein insertase outer membrane protein LolB"
"2037","N16961_10750","NC_002505.1",2326920,2327792,"+","4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase"
"2038","N16961_10755","NC_002505.1",2327823,2328767,"+","Ribose-phosphate pyrophosphokinase"
"2039","N16961_10760","NC_002505.1",2328936,2329526,"+","aminoacyl-tRNA hydrolase"
"2040","N16961_10765","NC_002505.1",2329537,2330628,"+","redox-regulated ATPase YchF"
"2041","N16961_10850","NC_002505.1",2332968,2334101,"-","flagellin"
"2042","N16961_10855","NC_002505.1",2334656,2335795,"-","flagellin"
"2043","N16961_10860","NC_002505.1",2336203,2337396,"-","flagellar hook-associated protein 3 FlgL"
"2044","N16961_10865","NC_002505.1",2337409,2339283,"-","flagellar hook-associated protein 1 FlgK"
"2045","N16961_10870","NC_002505.1",2339463,2340401,"-","peptidoglycan hydrolase"
"2046","N16961_10875","NC_002505.1",2340412,2341497,"-","flagellar P-ring protein precursor FlgI"
"2047","N16961_10880","NC_002505.1",2341588,2342364,"-","flagellar L-ring protein precursor FlgH"
"2048","N16961_10885","NC_002505.1",2342388,2343176,"-","flagellar basal-body rod protein FlgG"
"2049","N16961_10890","NC_002505.1",2343196,2343945,"-","flagellar basal-body rod protein FlgF"
"2050","N16961_10895","NC_002505.1",2344128,2345432,"-","flagellar hook protein FlgE"
"2051","N16961_10900","NC_002505.1",2345461,2346168,"-","flagellar basal-body rod modification protein FlgD"
"2052","N16961_10905","NC_002505.1",2346186,2346602,"-","flagellar basal body rod protein FlgC"
"2053","N16961_10910","NC_002505.1",2346607,2347002,"-","flagellar basal body rod protein FlgB"
"2054","N16961_10915","NC_002505.1",2347222,2348049,"-","chemotaxis protein methyltransferase CheR"
"2055","N16961_10920","NC_002505.1",2348060,2348986,"-","chemotaxis protein CheV"
"2056","N16961_10925","NC_002505.1",2349067,2349810,"+","flagellar basal body P-ring biosynthesis protein"
"2057","N16961_10930","NC_002505.1",2349941,2350264,"+","negative regulator of flagellin synthesis FlgM, putative"
"2058","N16961_10935","NC_002505.1",2350368,2350793,"+","flagellar biosynthesis chaperone FlgN"
"2059","N16961_10940","NC_002505.1",2350903,2351337,"-","flagellar assembly lipoprotein FlgP"
"2060","N16961_10945","NC_002505.1",2351348,2351983,"-","Vibrio-specific flagellar H-ring component FlgO"
"2061","N16961_10950","NC_002505.1",2352144,2353277,"+","Vibrio-specific flagellar H-ring component FlgT"
"2062","N16961_10955","NC_002505.1",2353407,2358194,"-","Non-ribosomal peptide synthetase module protein, siderophore biosynthesis"
"2063","N16961_10960","NC_002505.1",2358185,2360659,"-","(pseudo) AMP-binding protein"
"2064","N16961_10965","NC_002505.1",2360905,2361720,"-","Ferric vibriobactin reductase ViuB"
"2065","N16961_10970","NC_002505.1",2362024,2364087,"-","Ferric vibriobactin receptor ViuA"
"2066","N16961_10975","NC_002505.1",2364507,2365205,"+","Fe3+-citrate ABC transporter substrate-binding protein"
"2067","N16961_10980","NC_002505.1",2365293,2366258,"-","OmpA family protein"
"2068","N16961_10985","NC_002505.1",2366554,2367978,"-","glutamate--tRNA ligase"
"2069","N16961_10990","NC_002505.1",2368179,2370899,"+","copper-translocating P-type ATPase CopA"
"2070","N16961_10995","NC_002505.1",2370908,2371348,"+","DUF411 domain-containing protein"
"2071","N16961_11000","NC_002505.1",2371485,2374136,"-","N-acetyl-beta-hexosaminidase"
"2072","N16961_11005","NC_002505.1",2374583,2375449,"+","Uncharacterized conserved protein YbaP, TraB family"
"2073","N16961_11015","NC_002505.1",2375930,2376070,"+","DUF3149 domain-containing protein"
"2074","N16961_11020","NC_002505.1",2376252,2376830,"+","DNA endonuclease SmrA"
"2075","N16961_11025","NC_002505.1",2376896,2377882,"+","23S rRNA pseudouridine(2604) synthase RluF"
"2076","N16961_11030","NC_002505.1",2377980,2379401,"-","GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants"
"2077","N16961_11035","NC_002505.1",2379601,2379729,"-","hypothetical protein"
"2078","N16961_11040","NC_002505.1",2379749,2380375,"-","uracil phosphoribosyltransferase"
"2079","N16961_11045","NC_002505.1",2380542,2381582,"+","Phosphoribosylformylglycinamidine cyclo-ligase"
"2080","N16961_11050","NC_002505.1",2381585,2382223,"+","phosphoribosylglycinamide formyltransferase"
"2081","N16961_11055","NC_002505.1",2382364,2383209,"-","putative glutamine amidotransferase YafJ"
"2082","N16961_11060","NC_002505.1",2383272,2383847,"-","D-sedoheptulose 7-phosphate isomerase"
"2083","N16961_11065","NC_002505.1",2384165,2386609,"+","acyl-CoA dehydrogenase FadE"
"2084","N16961_11070","NC_002505.1",2386756,2388015,"-","TIGR03503 family protein"
"2085","N16961_11075","NC_002505.1",2388024,2388767,"-","DNA polymerase III subunit epsilon"
"2086","N16961_11080","NC_002505.1",2388824,2389294,"+","ribonuclease HI"
"2087","N16961_11085","NC_002505.1",2389365,2390102,"-","Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG"
"2088","N16961_11090","NC_002505.1",2390140,2390898,"+","hydroxyacylglutathione hydrolase"
"2089","N16961_11095","NC_002505.1",2390970,2392568,"+","Soluble lytic murein transglycosylase or regulatory protein s ( may contain LysM/invasin domain)"
"2090","N16961_11100","NC_002505.1",2392585,2393430,"-","endonuclease/exonuclease/phosphatase family protein"
"2091","N16961_11105","NC_002505.1",2393498,2393836,"-","nitrogen regulatory protein P-II"
"2092","N16961_11110","NC_002505.1",2393996,2394520,"-","putative phenolic acid decarboxylase"
"2093","N16961_11115","NC_002505.1",2394897,2395220,"-","Cytochrome c553"
"2094","N16961_11120","NC_002505.1",2395256,2396578,"-","tRNA(Ile)-lysidine synthase"
"2095","N16961_11125","NC_002505.1",2396718,2397677,"-","acetyl-CoA carboxylase carboxyl transferase subunit alpha"
"2096","N16961_11130","NC_002505.1",2397732,2401211,"-","DNA polymerase III subunit alpha"
"2097","N16961_11135","NC_002505.1",2401250,2401870,"-","ribonuclease HII"
"2098","N16961_11140","NC_002505.1",2401895,2403034,"-","lipid-A-disaccharide synthase"
"2099","N16961_11145","NC_002505.1",2403195,2403983,"-","acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase"
"2100","N16961_11150","NC_002505.1",2403985,2404437,"-","3-hydroxyacyl-ACP dehydratase FabZ"
"2101","N16961_11155","NC_002505.1",2404522,2405577,"-","UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase"
"2102","N16961_11160","NC_002505.1",2405587,2406087,"-","Chaperone protein Skp"
"2103","N16961_11165","NC_002505.1",2406111,2408522,"-","outer membrane protein assembly factor BamA"
"2104","N16961_11170","NC_002505.1",2408571,2409929,"-","sigma E protease regulator RseP"
"2105","N16961_11175","NC_002505.1",2409926,2411134,"-","1-deoxy-D-xylulose-5-phosphate reductoisomerase"
"2106","N16961_11180","NC_002505.1",2411183,2412025,"-","CDP-diglyceride synthetase"
"2107","N16961_11185","NC_002505.1",2412043,2412795,"-","polyprenyl diphosphate synthase"
"2108","N16961_11190","NC_002505.1",2412887,2413444,"-","ribosome recycling factor"
"2109","N16961_11195","NC_002505.1",2413498,2414229,"-","UMP kinase"
"2110","N16961_11200","NC_002505.1",2414417,2415259,"-","translation elongation factor Ts"
"2111","N16961_11205","NC_002505.1",2415391,2416119,"-","30S ribosomal protein S2"
"2112","N16961_11215","NC_002505.1",2416460,2417302,"+","type I methionyl aminopeptidase"
"2113","N16961_11220","NC_002505.1",2417407,2420037,"+","bifunctional uridylyltransferase/uridylyl-removing protein GlnD"
"2114","N16961_11230","NC_002505.1",2420313,2420696,"+","DUF3461 domain-containing protein"
"2115","N16961_11235","NC_002505.1",2420737,2421246,"-","phosphatidylglycerophosphatase A"
"2116","N16961_11240","NC_002505.1",2421243,2422217,"-","thiamine-phosphate kinase"
"2117","N16961_11245","NC_002505.1",2422308,2422778,"-","transcription antitermination factor NusB"
"2118","N16961_11250","NC_002505.1",2422778,2423248,"-","6,7-dimethyl-8-ribityllumazine synthase"
"2119","N16961_11255","NC_002505.1",2423513,2424622,"-","bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II"
"2120","N16961_11265","NC_002505.1",2424663,2425316,"-","riboflavin synthase"
"2121","N16961_11270","NC_002505.1",2425321,2426424,"-","bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD"
"2122","N16961_11275","NC_002505.1",2426450,2426899,"-","transcriptional regulator NrdR"
"2123","N16961_11280","NC_002505.1",2426999,2428249,"-","glutamate-5-semialdehyde dehydrogenase"
"2124","N16961_11285","NC_002505.1",2428261,2429394,"-","Glutamate 5-kinase"
"2125","N16961_11290","NC_002505.1",2429515,2429904,"-","sigma factor-binding protein Crl"
"2126","N16961_11295","NC_002505.1",2430038,2431285,"-","esterase FrsA"
"2127","N16961_11300","NC_002505.1",2431382,2431846,"-","xanthine phosphoribosyltransferase"
"2128","N16961_11305","NC_002505.1",2431884,2433176,"-","Xanthine/guanine/uracil/vitamin C permease GhxP/GhxQ, nucleobase:cation symporter 2 ( NCS2) family"
"2129","N16961_11310","NC_002505.1",2434055,2435527,"+","Di- or tripeptidase"
"2130","N16961_11315","NC_002505.1",2435761,2436204,"+","Putative ATP-dependent zinc protease domain-containing protein"
"2131","N16961_11320","NC_002505.1",2436201,2437106,"+","30S ribosomal protein S6--L-glutamate ligase"
"2132","N16961_11325","NC_002505.1",2437093,2438154,"+","putative deacylase"
"2133","N16961_11330","NC_002505.1",2438223,2439578,"-","Na+-dependent transporter, SNF family"
"2134","N16961_11335","NC_002505.1",2439735,2441252,"-","Extracellular (periplasmic) sensor domain CHASE (specificity unknown)"
"2135","N16961_11340","NC_002505.1",2441316,2442059,"-","Methyl-accepting chemotaxis protein"
"2136","N16961_11345","NC_002505.1",2442332,2443414,"-","DNA polymerase IV"
"2137","N16961_11350","NC_002505.1",2443523,2443756,"-","Na+-NQR maturation protein NqrM"
"2138","N16961_11355","NC_002505.1",2443773,2444777,"-","FAD:protein FMN transferase"
"2139","N16961_11360","NC_002505.1",2444923,2446149,"-","NADH:ubiquinone reductase (Na(+)-transporting) subunit F"
"2140","N16961_11365","NC_002505.1",2446183,2446779,"-","NADH:ubiquinone reductase (Na(+)-transporting) subunit E"
"2141","N16961_11370","NC_002505.1",2446787,2447419,"-","NADH:ubiquinone reductase (Na(+)-transporting) subunit D"
"2142","N16961_11375","NC_002505.1",2447419,2448192,"-","Na(+)-translocating NADH-quinone reductase subunit C"
"2143","N16961_11380","NC_002505.1",2448179,2449426,"-","NADH:ubiquinone reductase (Na(+)-transporting) subunit B"
"2144","N16961_11385","NC_002505.1",2449432,2450820,"-","Na(+)-translocating NADH-quinone reductase subunit A"
"2145","N16961_11390","NC_002505.1",2451257,2451577,"-","DNA-binding transcriptional regulator BolA"
"2146","N16961_11395","NC_002505.1",2451742,2452872,"+","Ribosomal RNA large subunit methyltransferase G"
"2147","N16961_11400","NC_002505.1",2452914,2453489,"+","Uncharacterized lipoprotein YajG"
"2148","N16961_11405","NC_002505.1",2453482,2454030,"+","Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family"
"2149","N16961_11410","NC_002505.1",2454099,2455487,"+","Major facilitator superfamily (MFS) profile domain-containing protein"
"2150","N16961_11415","NC_002505.1",2455575,2456255,"-","Anti-sigma factor ChrR, cupin superfamily"
"2151","N16961_11420","NC_002505.1",2456252,2456836,"-","RNA polymerase sigma factor"
"2152","N16961_11425","NC_002505.1",2456927,2457508,"-","Uncharacterized conserved protein, LON_N-like domain, ASCH/PUA-like superfamily"
"2153","N16961_11430","NC_002505.1",2457836,2458636,"+","Outer membrane protein OmpK"
"2154","N16961_11435","NC_002505.1",2458775,2459665,"+","2-dehydropantoate 2-reductase"
"2155","N16961_11440","NC_002505.1",2459662,2460267,"+","DJ-1 family glyoxalase III"
"2156","N16961_11445","NC_002505.1",2460254,2461465,"+","cysteine desulfurase CsdA"
"2157","N16961_11450","NC_002505.1",2461535,2461966,"-","cysteine desulfurase sulfur acceptor subunit CsdE"
"2158","N16961_11455","NC_002505.1",2461974,2462789,"-","tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase TcdA"
"2159","N16961_11460","NC_002505.1",2462887,2463993,"-","murein transglycosylase A"
"2160","N16961_11465","NC_002505.1",2464064,2464468,"-","DUF2850 domain-containing protein"
"2161","N16961_11470","NC_002505.1",2464737,2466074,"+","amino-acid N-acetyltransferase"
"2162","N16961_11475","NC_002505.1",2466301,2466486,"+","Exonuclease V subunit gamma"
"2163","N16961_11480","NC_002505.1",2466516,2468636,"-","exodeoxyribonuclease V subunit alpha"
"2164","N16961_11485","NC_002505.1",2468633,2472259,"-","exodeoxyribonuclease V subunit beta"
"2165","N16961_11490","NC_002505.1",2472524,2475970,"-","exodeoxyribonuclease V subunit gamma"
"2166","N16961_11500","NC_002505.1",2476209,2477177,"-","Tellurite resistance protein TehA and related permeases"
"2167","N16961_11505","NC_002505.1",2477288,2478202,"+","DNA-binding transcriptional regulator, LysR family"
"2168","N16961_11510","NC_002505.1",2478318,2478626,"+","dsDNA-binding SOS-regulon protein YebG, induction by DNA damage requires cAMP"
"2169","N16961_11515","NC_002505.1",2479033,2480064,"+","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"
"2170","N16961_11520","NC_002505.1",2480146,2481330,"-","Nitric oxide response protein NnrS"
"2171","N16961_11525","NC_002505.1",2481493,2482584,"-","Ribosomal protein S18 acetylase RimI and related acetyltransferases"
"2172","N16961_11530","NC_002505.1",2482594,2482692,"-","hypothetical protein"
"2173","N16961_11535","NC_002505.1",2482789,2484240,"+","Glutathione synthase, LysX or RimK-type ligase, ATP-grasp superfamily"
"2174","N16961_11545","NC_002505.1",2484472,2485413,"+","Mg2+ and Co2+ transporter CorA"
"2175","N16961_11550","NC_002505.1",2485433,2485984,"+","Gamma-glutamylcyclotransferase AIG2-like domain-containing protein"
"2176","N16961_11555","NC_002505.1",2485981,2486325,"-","tRNA-binding protein"
"2177","N16961_11560","NC_002505.1",2486484,2487491,"+","DNA-binding transcriptional regulator, LacI/PurR family"
"2178","N16961_11565","NC_002505.1",2487503,2489008,"-","(pseudo) Beta-galactosidase"
"2179","N16961_11570","NC_002505.1",2489023,2490576,"-","Beta-galactosidase"
"2180","N16961_11575","NC_002505.1",2490959,2492101,"+","Chromate transport protein ChrA"
"2181","N16961_11580","NC_002505.1",2492237,2493391,"+","HD-GYP domain, c-di-GMP phosphodiesterase class II (or its inactivated variant)"
"2182","N16961_11585","NC_002505.1",2493597,2495282,"+","Long-chain acyl-CoA synthetase (AMP-forming)"
"2183","N16961_11590","NC_002505.1",2495396,2497483,"-","elongation factor G"
"2184","N16961_11595","NC_002505.1",2497754,2499127,"-","DNA repair protein RadA"
"2185","N16961_11600","NC_002505.1",2499261,2501600,"+","PilZ domain-containing protein"
"2186","N16961_11610","NC_002505.1",2501805,2502785,"-","phosphoserine phosphatase"
"2187","N16961_11615","NC_002505.1",2502888,2503511,"+","Uncharacterized membrane protein Smp affecting hemolysin expression"
"2188","N16961_11620","NC_002505.1",2503591,2504316,"-","purine-nucleoside phosphorylase"
"2189","N16961_11625","NC_002505.1",2504399,2505619,"-","phosphopentomutase"
"2190","N16961_11630","NC_002505.1",2505637,2506983,"-","thymidine phosphorylase"
"2191","N16961_11635","NC_002505.1",2507071,2507850,"-","deoxyribose-phosphate aldolase"
"2192","N16961_11640","NC_002505.1",2508452,2509708,"-","Nucleoside permease NupC"
"2193","N16961_11645","NC_002505.1",2509895,2510719,"-","3'->5' ssDNA/RNA exonuclease TatD"
"2194","N16961_11650","NC_002505.1",2510691,2510831,"-","DUF5363 domain-containing protein"
"2195","N16961_11655","NC_002505.1",2510861,2511634,"-","peroxide stress protein YaaA"
"2196","N16961_11660","NC_002505.1",2511798,2513228,"-","Na+/alanine symporter"
"2197","N16961_11665","NC_002505.1",2513921,2514100,"+","DUF3545 domain-containing protein"
"2198","N16961_11670","NC_002505.1",2514244,2514795,"-","Hemerythrin domain"
"2199","N16961_11675","NC_002505.1",2514885,2515565,"-","uracil-DNA glycosylase"
"2200","N16961_11680","NC_002505.1",2515934,2516794,"-","deoxyribonuclease IV"
"2201","N16961_11685","NC_002505.1",2517140,2517517,"+","autonomous glycyl radical cofactor GrcA"
"2202","N16961_11690","NC_002505.1",2517597,2518877,"-","threonine synthase"
"2203","N16961_11695","NC_002505.1",2518874,2519830,"-","homoserine kinase"
"2204","N16961_11700","NC_002505.1",2519851,2522310,"-","bifunctional aspartate kinase/homoserine dehydrogenase I"
"2205","N16961_11710","NC_002505.1",2522858,2523340,"+","Ribonuclease regulator"
"2206","N16961_11715","NC_002505.1",2523337,2523822,"-","putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase"
"2207","N16961_11720","NC_002505.1",2523852,2524235,"-","DUF3293 domain-containing protein"
"2208","N16961_11725","NC_002505.1",2524550,2525266,"+","two-component system response regulator ArcA"
"2209","N16961_11730","NC_002505.1",2525325,2527682,"-","aerobic respiration two-component sensor histidine kinase ArcB"
"2210","N16961_11735","NC_002505.1",2527789,2529528,"-","Two-component response regulator, PleD family, consists of two REC domains and a diguanylate cyclase (GGDEF) domain"
"2211","N16961_11740","NC_002505.1",2529596,2530534,"-","TIGR01212 family radical SAM protein"
"2212","N16961_11745","NC_002505.1",2531113,2535657,"+","glutamate synthase large subunit"
"2213","N16961_11750","NC_002505.1",2535658,2537127,"+","NADPH-dependent glutamate synthase beta chain or related oxidoreductase"
"2214","N16961_11755","NC_002505.1",2537655,2542118,"+","glutamate synthase large subunit"
"2215","N16961_11760","NC_002505.1",2542137,2543549,"+","NADPH-dependent glutamate synthase beta chain or related oxidoreductase"
"2216","N16961_11765","NC_002505.1",2543805,2544170,"+","DUF1499 domain-containing protein"
"2217","N16961_11770","NC_002505.1",2544258,2544953,"+","5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase"
"2218","N16961_11775","NC_002505.1",2544966,2545919,"+","cobalamin biosynthesis family protein"
"2219","N16961_11780","NC_002505.1",2545920,2546750,"+","vitamin B12 ABC transporter substrate-binding protein BtuF"
"2220","N16961_11785","NC_002505.1",2546833,2547453,"+","UPF0126 membrane protein VC_2382"
"2221","N16961_11790","NC_002505.1",2547605,2548465,"+","Uncharacterized HTH-type transcriptional regulator VC_2383"
"2222","N16961_11795","NC_002505.1",2548395,2549180,"-","Sulfite exporter TauE/SafE/YfcA and related permeases, UPF0721 family"
"2223","N16961_11805","NC_002505.1",2549666,2550613,"+","retron St85 family RNA-directed DNA polymerase"
"2224","N16961_11810","NC_002505.1",2550614,2552236,"+","Retron Vc95 putative ATPase"
"2225","N16961_11815","NC_002505.1",2552249,2552866,"+","Retron Vc95 putative HNH endonuclease"
"2226","N16961_11820","NC_002505.1",2552971,2553288,"-","Uncharacterized protein orf105"
"2227","N16961_11825","NC_002505.1",2553477,2553959,"+","Uncharacterized protein orf160"
"2228","N16961_11830","NC_002505.1",2554049,2557279,"-","carbamoyl-phosphate synthase large subunit"
"2229","N16961_11835","NC_002505.1",2557296,2558435,"-","carbamoyl phosphate synthase small subunit"
"2230","N16961_11840","NC_002505.1",2558918,2559727,"-","4-hydroxy-tetrahydrodipicolinate reductase"
"2231","N16961_11845","NC_002505.1",2559842,2560240,"-","8-oxo-dGTP diphosphatase MutT"
"2232","N16961_11850","NC_002505.1",2560390,2563101,"-","preprotein translocase subunit SecA"
"2233","N16961_11855","NC_002505.1",2563455,2563928,"+","DUF721 domain-containing protein"
"2234","N16961_11860","NC_002505.1",2564032,2564949,"-","UDP-3-O-acyl-N-acetylglucosamine deacetylase"
"2235","N16961_11865","NC_002505.1",2565047,2566243,"-","cell division protein FtsZ"
"2236","N16961_11870","NC_002505.1",2566274,2567536,"-","cell division protein FtsA"
"2237","N16961_11875","NC_002505.1",2567529,2568311,"-","Cell division protein FtsQ"
"2238","N16961_11880","NC_002505.1",2568493,2569953,"-","UDP-N-acetylmuramate--L-alanine ligase"
"2239","N16961_11885","NC_002505.1",2569967,2571028,"-","undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase"
"2240","N16961_11890","NC_002505.1",2571015,2572172,"-","cell division protein FtsW"
"2241","N16961_11895","NC_002505.1",2572228,2573550,"-","UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase"
"2242","N16961_11900","NC_002505.1",2573574,2574656,"-","phospho-N-acetylmuramoyl-pentapeptide-transferase"
"2243","N16961_11905","NC_002505.1",2574653,2576014,"-","UDP-N-acetylmuramyl pentapeptide synthase"
"2244","N16961_11910","NC_002505.1",2576011,2577498,"-","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase"
"2245","N16961_11915","NC_002505.1",2577515,2579257,"-","Cell division protein FtsI, peptidoglycan transpeptidase (Penicillin-binding protein 2)"
"2246","N16961_11920","NC_002505.1",2579254,2579574,"-","cell division protein FtsL"
